x,y,dy/dx
0.278,1.227,0.873
0.280,1.229,0.874
0.282,1.231,0.874
0.284,1.233,0.875
0.286,1.234,0.876
0.288,1.236,0.876
0.290,1.238,0.877
0.292,1.240,0.877
0.294,1.241,0.878
0.296,1.243,0.878
0.298,1.245,0.879
0.300,1.247,0.879
0.302,1.248,0.880
0.304,1.250,0.880
0.306,1.252,0.881
0.308,1.254,0.881
0.310,1.255,0.882
0.312,1.257,0.882
0.314,1.259,0.883
0.316,1.261,0.883
0.318,1.262,0.884
0.320,1.264,0.884
0.322,1.266,0.884
0.324,1.268,0.885
0.326,1.270,0.885
0.328,1.271,0.886
0.330,1.273,0.886
0.332,1.275,0.887
0.334,1.277,0.887
0.336,1.278,0.887
0.338,1.280,0.888
0.340,1.282,0.888
0.342,1.284,0.888
0.344,1.285,0.889
0.346,1.287,0.889
0.348,1.289,0.890
0.350,1.291,0.890
0.352,1.293,0.890
0.354,1.294,0.891
0.356,1.296,0.891
0.358,1.298,0.891
0.360,1.300,0.891
0.362,1.302,0.892
0.364,1.303,0.892
0.366,1.305,0.892
0.368,1.307,0.893
0.370,1.309,0.893
0.372,1.310,0.893
0.374,1.312,0.893
0.376,1.314,0.894
0.378,1.316,0.894
0.380,1.318,0.894
0.382,1.319,0.894
0.384,1.321,0.895
0.386,1.323,0.895
0.388,1.325,0.895
0.390,1.327,0.895
0.392,1.328,0.895
0.394,1.330,0.896
0.396,1.332,0.896
0.398,1.334,0.896
0.400,1.335,0.896
0.402,1.337,0.896
0.404,1.339,0.896
0.406,1.341,0.897
0.408,1.343,0.897
0.410,1.344,0.897
0.412,1.346,0.897
0.414,1.348,0.897
0.416,1.350,0.897
0.418,1.352,0.897
0.420,1.353,0.897
0.422,1.355,0.898
0.424,1.357,0.898
0.426,1.359,0.898
0.428,1.361,0.898
0.430,1.362,0.898
0.432,1.364,0.898
0.434,1.366,0.898
0.436,1.368,0.898
0.438,1.370,0.898
0.440,1.371,0.898
0.442,1.373,0.898
0.444,1.375,0.898
0.446,1.377,0.898
0.448,1.379,0.898
0.450,1.380,0.898
0.452,1.382,0.898
0.454,1.384,0.898
0.456,1.386,0.898
0.458,1.388,0.898
0.460,1.389,0.898
0.462,1.391,0.897
0.464,1.393,0.897
0.466,1.395,0.897
0.468,1.397,0.897
0.470,1.398,0.897
0.472,1.400,0.897
0.474,1.402,0.897
0.476,1.404,0.897
0.478,1.405,0.897
0.480,1.407,0.896
0.482,1.409,0.896
0.484,1.411,0.896
0.486,1.413,0.896
0.488,1.414,0.896
0.490,1.416,0.896
0.492,1.418,0.895
0.494,1.420,0.895
0.496,1.422,0.895
0.498,1.423,0.895
0.500,1.425,0.894
0.502,1.427,0.894
0.504,1.429,0.894
0.506,1.431,0.894
0.508,1.432,0.893
0.510,1.434,0.893
0.512,1.436,0.893
0.514,1.438,0.892
0.516,1.439,0.892
0.518,1.441,0.892
0.520,1.443,0.892
0.522,1.445,0.891
0.524,1.447,0.891
0.526,1.448,0.891
0.528,1.450,0.890
0.530,1.452,0.890
0.532,1.454,0.889
0.534,1.456,0.889
0.536,1.457,0.889
0.538,1.459,0.888
0.540,1.461,0.888
0.542,1.463,0.887
0.544,1.464,0.887
0.546,1.466,0.886
0.548,1.468,0.886
0.550,1.470,0.886
0.552,1.471,0.885
0.554,1.473,0.885
0.556,1.475,0.884
0.558,1.477,0.884
0.560,1.479,0.883
0.562,1.480,0.883
0.564,1.482,0.882
0.566,1.484,0.881
0.568,1.486,0.881
0.570,1.487,0.880
0.572,1.489,0.880
0.574,1.491,0.879
0.576,1.493,0.879
0.578,1.494,0.878
0.580,1.496,0.877
0.582,1.498,0.877
0.584,1.500,0.876
0.586,1.501,0.876
0.588,1.503,0.875
0.590,1.505,0.874
0.592,1.507,0.874
0.594,1.508,0.873
0.596,1.510,0.872
0.598,1.512,0.872
0.600,1.514,0.871
0.602,1.515,0.870
0.604,1.517,0.869
0.606,1.519,0.869
0.608,1.521,0.868
0.610,1.522,0.867
0.612,1.524,0.866
0.614,1.526,0.866
0.616,1.528,0.865
0.618,1.529,0.864
0.620,1.531,0.863
0.622,1.533,0.862
0.624,1.534,0.862
0.626,1.536,0.861
0.628,1.538,0.860
0.630,1.540,0.859
0.632,1.541,0.858
0.634,1.543,0.857
0.636,1.545,0.857
0.638,1.546,0.856
0.640,1.548,0.855
0.642,1.550,0.854
0.644,1.552,0.853
0.646,1.553,0.852
0.648,1.555,0.851
0.650,1.557,0.850
0.652,1.558,0.849
0.654,1.560,0.848
0.656,1.562,0.847
0.658,1.564,0.846
0.660,1.565,0.845
0.662,1.567,0.844
0.664,1.569,0.843
0.666,1.570,0.842
0.668,1.572,0.841
0.670,1.574,0.840
0.672,1.575,0.839
0.674,1.577,0.838
0.676,1.579,0.837
0.678,1.580,0.836
0.680,1.582,0.835
0.682,1.584,0.834
0.684,1.585,0.832
0.686,1.587,0.831
0.688,1.589,0.830
0.690,1.590,0.829
0.692,1.592,0.828
0.694,1.594,0.827
0.696,1.595,0.825
0.698,1.597,0.824
0.700,1.599,0.823
0.702,1.600,0.822
0.704,1.602,0.821
0.706,1.604,0.819
0.708,1.605,0.818
0.710,1.607,0.817
0.712,1.608,0.816
0.714,1.610,0.814
0.716,1.612,0.813
0.718,1.613,0.812
0.720,1.615,0.810
0.722,1.617,0.809
0.724,1.618,0.808
0.726,1.620,0.806
0.728,1.621,0.805
0.730,1.623,0.804
0.732,1.625,0.802
0.734,1.626,0.801
0.736,1.628,0.800
0.738,1.629,0.798
0.740,1.631,0.797
0.742,1.633,0.795
0.744,1.634,0.794
0.746,1.636,0.792
0.748,1.637,0.791
0.750,1.639,0.789
0.752,1.641,0.788
0.754,1.642,0.787
0.756,1.644,0.785
0.758,1.645,0.784
0.760,1.647,0.782
0.762,1.648,0.780
0.764,1.650,0.779
0.766,1.652,0.777
0.768,1.653,0.776
0.770,1.655,0.774
0.772,1.656,0.773
0.774,1.658,0.771
0.776,1.659,0.769
0.778,1.661,0.768
0.780,1.662,0.766
0.782,1.664,0.765
0.784,1.665,0.763
0.786,1.667,0.761
0.788,1.668,0.760
0.790,1.670,0.758
0.792,1.671,0.756
0.794,1.673,0.755
0.796,1.675,0.753
0.798,1.676,0.751
0.800,1.678,0.749
0.802,1.679,0.748
0.804,1.681,0.746
0.806,1.682,0.744
0.808,1.683,0.742
0.810,1.685,0.741
0.812,1.686,0.739
0.814,1.688,0.737
0.816,1.689,0.735
0.818,1.691,0.733
0.820,1.692,0.731
0.822,1.694,0.730
0.824,1.695,0.728
0.826,1.697,0.726
0.828,1.698,0.724
0.830,1.700,0.722
0.832,1.701,0.720
0.834,1.703,0.718
0.836,1.704,0.716
0.838,1.705,0.714
0.840,1.707,0.713
0.842,1.708,0.711
0.844,1.710,0.709
0.846,1.711,0.707
0.848,1.712,0.705
0.850,1.714,0.703
0.852,1.715,0.701
0.854,1.717,0.699
0.856,1.718,0.697
0.858,1.719,0.695
0.860,1.721,0.693
0.862,1.722,0.690
0.864,1.724,0.688
0.866,1.725,0.686
0.868,1.726,0.684
0.870,1.728,0.682
0.872,1.729,0.680
0.874,1.730,0.678
0.876,1.732,0.676
0.878,1.733,0.674
0.880,1.735,0.672
0.882,1.736,0.669
0.884,1.737,0.667
0.886,1.739,0.665
0.888,1.740,0.663
0.890,1.741,0.661
0.892,1.743,0.658
0.894,1.744,0.656
0.896,1.745,0.654
0.898,1.746,0.652
0.900,1.748,0.649
0.902,1.749,0.647
0.904,1.750,0.645
0.906,1.752,0.643
0.908,1.753,0.640
0.910,1.754,0.638
0.912,1.756,0.636
0.914,1.757,0.633
0.916,1.758,0.631
0.918,1.759,0.629
0.920,1.761,0.626
0.922,1.762,0.624
0.924,1.763,0.622
0.926,1.764,0.619
0.928,1.766,0.617
0.930,1.767,0.615
0.932,1.768,0.612
0.934,1.769,0.610
0.936,1.770,0.607
0.938,1.772,0.605
0.940,1.773,0.602
0.942,1.774,0.600
0.944,1.775,0.597
0.946,1.776,0.595
0.948,1.778,0.593
0.950,1.779,0.590
0.952,1.780,0.588
0.954,1.781,0.585
0.956,1.782,0.582
0.958,1.784,0.580
0.960,1.785,0.577
0.962,1.786,0.575
0.964,1.787,0.572
0.966,1.788,0.570
0.968,1.789,0.567
0.970,1.790,0.565
0.972,1.792,0.562
0.974,1.793,0.559
0.976,1.794,0.557
0.978,1.795,0.554
0.980,1.796,0.551
0.982,1.797,0.549
0.984,1.798,0.546
0.986,1.799,0.543
0.988,1.800,0.541
0.990,1.801,0.538
0.992,1.803,0.535
0.994,1.804,0.533
0.996,1.805,0.530
0.998,1.806,0.527
1.000,1.807,0.525
1.002,1.808,0.522
1.004,1.809,0.519
1.006,1.810,0.516
1.008,1.811,0.514
1.010,1.812,0.511
1.012,1.813,0.508
1.014,1.814,0.505
1.016,1.815,0.502
1.018,1.816,0.500
1.020,1.817,0.497
1.022,1.818,0.494
1.024,1.819,0.491
1.026,1.820,0.488
1.028,1.821,0.485
1.030,1.822,0.482
1.032,1.823,0.480
1.034,1.824,0.477
1.036,1.825,0.474
1.038,1.826,0.471
1.040,1.827,0.468
1.042,1.828,0.465
1.044,1.829,0.462
1.046,1.830,0.459
1.048,1.830,0.456
1.050,1.831,0.453
1.052,1.832,0.450
1.054,1.833,0.447
1.056,1.834,0.444
1.058,1.835,0.442
1.060,1.836,0.439
1.062,1.837,0.436
1.064,1.838,0.433
1.066,1.838,0.430
1.068,1.839,0.426
1.070,1.840,0.423
1.072,1.841,0.420
1.074,1.842,0.417
1.076,1.843,0.414
1.078,1.843,0.411
1.080,1.844,0.408
1.082,1.845,0.405
1.084,1.846,0.402
1.086,1.847,0.399
1.088,1.848,0.396
1.090,1.848,0.393
1.092,1.849,0.390
1.094,1.850,0.387
1.096,1.851,0.383
1.098,1.851,0.380
1.100,1.852,0.377
1.102,1.853,0.374
1.104,1.854,0.371
1.106,1.854,0.368
1.108,1.855,0.364
1.110,1.856,0.361
1.112,1.857,0.358
1.114,1.857,0.355
1.116,1.858,0.352
1.118,1.859,0.348
1.120,1.859,0.345
1.122,1.860,0.342
1.124,1.861,0.339
1.126,1.862,0.336
1.128,1.862,0.332
1.130,1.863,0.329
1.132,1.864,0.326
1.134,1.864,0.323
1.136,1.865,0.319
1.138,1.865,0.316
1.140,1.866,0.313
1.142,1.867,0.309
1.144,1.867,0.306
1.146,1.868,0.303
1.148,1.869,0.300
1.150,1.869,0.296
1.152,1.870,0.293
1.154,1.870,0.290
1.156,1.871,0.286
1.158,1.871,0.283
1.160,1.872,0.280
1.162,1.873,0.276
1.164,1.873,0.273
1.166,1.874,0.269
1.168,1.874,0.266
1.170,1.875,0.263
1.172,1.875,0.259
1.174,1.876,0.256
1.176,1.876,0.253
1.178,1.877,0.249
1.180,1.877,0.246
1.182,1.878,0.242
1.184,1.878,0.239
1.186,1.879,0.236
1.188,1.879,0.232
1.190,1.880,0.229
1.192,1.880,0.225
1.194,1.881,0.222
1.196,1.881,0.218
1.198,1.882,0.215
1.200,1.882,0.211
1.202,1.882,0.208
1.204,1.883,0.205
1.206,1.883,0.201
1.208,1.884,0.198
1.210,1.884,0.194
1.212,1.884,0.191
1.214,1.885,0.187
1.216,1.885,0.184
1.218,1.885,0.180
1.220,1.886,0.177
1.222,1.886,0.173
1.224,1.887,0.170
1.226,1.887,0.166
1.228,1.887,0.163
1.230,1.888,0.159
1.232,1.888,0.155
1.234,1.888,0.152
1.236,1.888,0.148
1.238,1.889,0.145
1.240,1.889,0.141
1.242,1.889,0.138
1.244,1.890,0.134
1.246,1.890,0.131
1.248,1.890,0.127
1.250,1.890,0.123
1.252,1.891,0.120
1.254,1.891,0.116
1.256,1.891,0.113
1.258,1.891,0.109
1.260,1.892,0.106
1.262,1.892,0.102
1.264,1.892,0.098
1.266,1.892,0.095
1.268,1.892,0.091
1.270,1.893,0.088
1.272,1.893,0.084
1.274,1.893,0.080
1.276,1.893,0.077
1.278,1.893,0.073
1.280,1.893,0.070
1.282,1.893,0.066
1.284,1.894,0.062
1.286,1.894,0.059
1.288,1.894,0.055
1.290,1.894,0.051
1.292,1.894,0.048
1.294,1.894,0.044
1.296,1.894,0.040
1.298,1.894,0.037
1.300,1.894,0.033
1.302,1.894,0.029
1.304,1.895,0.026
1.306,1.895,0.022
1.308,1.895,0.019
1.310,1.895,0.015
1.312,1.895,0.011
1.314,1.895,0.008
1.316,1.895,0.004
1.318,1.895,0.000
1.320,1.895,-0.003
1.322,1.895,-0.007
1.324,1.895,-0.011
1.326,1.895,-0.014
1.328,1.895,-0.018
1.330,1.895,-0.022
1.332,1.895,-0.026
1.334,1.895,-0.029
1.336,1.894,-0.033
1.338,1.894,-0.037
1.340,1.894,-0.040
1.342,1.894,-0.044
1.344,1.894,-0.048
1.346,1.894,-0.051
1.348,1.894,-0.055
1.350,1.894,-0.059
1.352,1.894,-0.062
1.354,1.894,-0.066
1.356,1.894,-0.070
1.358,1.893,-0.073
1.360,1.893,-0.077
1.362,1.893,-0.081
1.364,1.893,-0.085
1.366,1.893,-0.088
1.368,1.893,-0.092
1.370,1.892,-0.096
1.372,1.892,-0.099
1.374,1.892,-0.103
1.376,1.892,-0.107
1.378,1.892,-0.110
1.380,1.891,-0.114
1.382,1.891,-0.118
1.384,1.891,-0.122
1.386,1.891,-0.125
1.388,1.890,-0.129
1.390,1.890,-0.133
1.392,1.890,-0.136
1.394,1.890,-0.140
1.396,1.889,-0.144
1.398,1.889,-0.147
1.400,1.889,-0.151
1.402,1.888,-0.155
1.404,1.888,-0.159
1.406,1.888,-0.162
1.408,1.887,-0.166
1.410,1.887,-0.170
1.412,1.887,-0.173
1.414,1.886,-0.177
1.416,1.886,-0.181
1.418,1.886,-0.184
1.420,1.885,-0.188
1.422,1.885,-0.192
1.424,1.885,-0.195
1.426,1.884,-0.199
1.428,1.884,-0.203
1.430,1.883,-0.207
1.432,1.883,-0.210
1.434,1.883,-0.214
1.436,1.882,-0.218
1.438,1.882,-0.221
1.440,1.881,-0.225
1.442,1.881,-0.229
1.444,1.880,-0.232
1.446,1.880,-0.236
1.448,1.879,-0.240
1.450,1.879,-0.243
1.452,1.878,-0.247
1.454,1.878,-0.251
1.456,1.877,-0.254
1.458,1.877,-0.258
1.460,1.876,-0.262
1.462,1.876,-0.265
1.464,1.875,-0.269
1.466,1.875,-0.273
1.468,1.874,-0.276
1.470,1.874,-0.280
1.472,1.873,-0.284
1.474,1.873,-0.287
1.476,1.872,-0.291
1.478,1.871,-0.294
1.480,1.871,-0.298
1.482,1.870,-0.302
1.484,1.870,-0.305
1.486,1.869,-0.309
1.488,1.868,-0.313
1.490,1.868,-0.316
1.492,1.867,-0.320
1.494,1.867,-0.323
1.496,1.866,-0.327
1.498,1.865,-0.331
1.500,1.865,-0.334
1.502,1.864,-0.338
1.504,1.863,-0.341
1.506,1.863,-0.345
1.508,1.862,-0.349
1.510,1.861,-0.352
1.512,1.860,-0.356
1.514,1.860,-0.359
1.516,1.859,-0.363
1.518,1.858,-0.367
1.520,1.858,-0.370
1.522,1.857,-0.374
1.524,1.856,-0.377
1.526,1.855,-0.381
1.528,1.855,-0.384
1.530,1.854,-0.388
1.532,1.853,-0.391
1.534,1.852,-0.395
1.536,1.851,-0.398
1.538,1.851,-0.402
1.540,1.850,-0.406
1.542,1.849,-0.409
1.544,1.848,-0.413
1.546,1.847,-0.416
1.548,1.847,-0.420
1.550,1.846,-0.423
1.552,1.845,-0.427
1.554,1.844,-0.430
1.556,1.843,-0.434
1.558,1.842,-0.437
1.560,1.841,-0.440
1.562,1.841,-0.444
1.564,1.840,-0.447
1.566,1.839,-0.451
1.568,1.838,-0.454
1.570,1.837,-0.458
1.572,1.836,-0.461
1.574,1.835,-0.465
1.576,1.834,-0.468
1.578,1.833,-0.472
1.580,1.832,-0.475
1.582,1.831,-0.478
1.584,1.830,-0.482
1.586,1.829,-0.485
1.588,1.828,-0.489
1.590,1.828,-0.492
1.592,1.827,-0.495
1.594,1.826,-0.499
1.596,1.825,-0.502
1.598,1.824,-0.505
1.600,1.823,-0.509
1.602,1.821,-0.512
1.604,1.820,-0.516
1.606,1.819,-0.519
1.608,1.818,-0.522
1.610,1.817,-0.526
1.612,1.816,-0.529
1.614,1.815,-0.532
1.616,1.814,-0.536
1.618,1.813,-0.539
1.620,1.812,-0.542
1.622,1.811,-0.545
1.624,1.810,-0.549
1.626,1.809,-0.552
1.628,1.808,-0.555
1.630,1.807,-0.559
1.632,1.805,-0.562
1.634,1.804,-0.565
1.636,1.803,-0.568
1.638,1.802,-0.572
1.640,1.801,-0.575
1.642,1.800,-0.578
1.644,1.799,-0.581
1.646,1.797,-0.584
1.648,1.796,-0.588
1.650,1.795,-0.591
1.652,1.794,-0.594
1.654,1.793,-0.597
1.656,1.792,-0.600
1.658,1.790,-0.604
1.660,1.789,-0.607
1.662,1.788,-0.610
1.664,1.787,-0.613
1.666,1.785,-0.616
1.668,1.784,-0.619
1.670,1.783,-0.622
1.672,1.782,-0.625
1.674,1.780,-0.629
1.676,1.779,-0.632
1.678,1.778,-0.635
1.680,1.777,-0.638
1.682,1.775,-0.641
1.684,1.774,-0.644
1.686,1.773,-0.647
1.688,1.772,-0.650
1.690,1.770,-0.653
1.692,1.769,-0.656
1.694,1.768,-0.659
1.696,1.766,-0.662
1.698,1.765,-0.665
1.700,1.764,-0.668
1.702,1.762,-0.671
1.704,1.761,-0.674
1.706,1.760,-0.677
1.708,1.758,-0.680
1.710,1.757,-0.683
1.712,1.756,-0.686
1.714,1.754,-0.689
1.716,1.753,-0.692
1.718,1.751,-0.695
1.720,1.750,-0.698
1.722,1.749,-0.701
1.724,1.747,-0.703
1.726,1.746,-0.706
1.728,1.744,-0.709
1.730,1.743,-0.712
1.732,1.742,-0.715
1.734,1.740,-0.718
1.736,1.739,-0.721
1.738,1.737,-0.723
1.740,1.736,-0.726
1.742,1.734,-0.729
1.744,1.733,-0.732
1.746,1.731,-0.735
1.748,1.730,-0.737
1.750,1.729,-0.740
1.752,1.727,-0.743
1.754,1.726,-0.746
1.756,1.724,-0.748
1.758,1.723,-0.751
1.760,1.721,-0.754
1.762,1.720,-0.757
1.764,1.718,-0.759
1.766,1.717,-0.762
1.768,1.715,-0.765
1.770,1.713,-0.767
1.772,1.712,-0.770
1.774,1.710,-0.773
1.776,1.709,-0.775
1.778,1.707,-0.778
1.780,1.706,-0.781
1.782,1.704,-0.783
1.784,1.703,-0.786
1.786,1.701,-0.789
1.788,1.699,-0.791
1.790,1.698,-0.794
1.792,1.696,-0.796
1.794,1.695,-0.799
1.796,1.693,-0.801
1.798,1.691,-0.804
1.800,1.690,-0.806
1.802,1.688,-0.809
1.804,1.687,-0.811
1.806,1.685,-0.814
1.808,1.683,-0.816
1.810,1.682,-0.819
1.812,1.680,-0.821
1.814,1.678,-0.824
1.816,1.677,-0.826
1.818,1.675,-0.829
1.820,1.674,-0.831
1.822,1.672,-0.834
1.824,1.670,-0.836
1.826,1.669,-0.838
1.828,1.667,-0.841
1.830,1.665,-0.843
1.832,1.663,-0.845
1.834,1.662,-0.848
1.836,1.660,-0.850
1.838,1.658,-0.852
1.840,1.657,-0.855
1.842,1.655,-0.857
1.844,1.653,-0.859
1.846,1.652,-0.862
1.848,1.650,-0.864
1.850,1.648,-0.866
1.852,1.646,-0.868
1.854,1.645,-0.871
1.856,1.643,-0.873
1.858,1.641,-0.875
1.860,1.639,-0.877
1.862,1.638,-0.880
1.864,1.636,-0.882
1.866,1.634,-0.884
1.868,1.632,-0.886
1.870,1.631,-0.888
1.872,1.629,-0.890
1.874,1.627,-0.893
1.876,1.625,-0.895
1.878,1.623,-0.897
1.880,1.622,-0.899
1.882,1.620,-0.901
1.884,1.618,-0.903
1.886,1.616,-0.905
1.888,1.614,-0.907
1.890,1.613,-0.909
1.892,1.611,-0.911
1.894,1.609,-0.913
1.896,1.607,-0.915
1.898,1.605,-0.917
1.900,1.603,-0.919
1.902,1.602,-0.921
1.904,1.600,-0.923
1.906,1.598,-0.925
1.908,1.596,-0.927
1.910,1.594,-0.929
1.912,1.592,-0.931
1.914,1.591,-0.933
1.916,1.589,-0.935
1.918,1.587,-0.937
1.920,1.585,-0.939
1.922,1.583,-0.940
1.924,1.581,-0.942
1.926,1.579,-0.944
1.928,1.577,-0.946
1.930,1.576,-0.948
1.932,1.574,-0.950
1.934,1.572,-0.951
1.936,1.570,-0.953
1.938,1.568,-0.955
1.940,1.566,-0.957
1.942,1.564,-0.958
1.944,1.562,-0.960
1.946,1.560,-0.962
1.948,1.558,-0.964
1.950,1.556,-0.965
1.952,1.554,-0.967
1.954,1.553,-0.969
1.956,1.551,-0.970
1.958,1.549,-0.972
1.960,1.547,-0.974
1.962,1.545,-0.975
1.964,1.543,-0.977
1.966,1.541,-0.978
1.968,1.539,-0.980
1.970,1.537,-0.982
1.972,1.535,-0.983
1.974,1.533,-0.985
1.976,1.531,-0.986
1.978,1.529,-0.988
1.980,1.527,-0.989
1.982,1.525,-0.991
1.984,1.523,-0.992
1.986,1.521,-0.994
1.988,1.519,-0.995
1.990,1.517,-0.997
1.992,1.515,-0.998
1.994,1.513,-1.000
1.996,1.511,-1.001
1.998,1.509,-1.003
2.000,1.507,-1.004
2.002,1.505,-1.005
2.004,1.503,-1.007
2.006,1.501,-1.008
2.008,1.499,-1.010
2.010,1.497,-1.011
2.012,1.495,-1.012
2.014,1.493,-1.014
2.016,1.491,-1.015
2.018,1.489,-1.016
2.020,1.487,-1.017
2.022,1.485,-1.019
2.024,1.483,-1.020
2.026,1.481,-1.021
2.028,1.479,-1.023
2.030,1.477,-1.024
2.032,1.475,-1.025
2.034,1.473,-1.026
2.036,1.471,-1.027
2.038,1.469,-1.029
2.040,1.467,-1.030
2.042,1.464,-1.031
2.044,1.462,-1.032
2.046,1.460,-1.033
2.048,1.458,-1.034
2.050,1.456,-1.035
2.052,1.454,-1.037
2.054,1.452,-1.038
2.056,1.450,-1.039
2.058,1.448,-1.040
2.060,1.446,-1.041
2.062,1.444,-1.042
2.064,1.442,-1.043
2.066,1.440,-1.044
2.068,1.437,-1.045
2.070,1.435,-1.046
2.072,1.433,-1.047
2.074,1.431,-1.048
2.076,1.429,-1.049
2.078,1.427,-1.050
2.080,1.425,-1.051
2.082,1.423,-1.052
2.084,1.421,-1.053
2.086,1.419,-1.054
2.088,1.416,-1.055
2.090,1.414,-1.055
2.092,1.412,-1.056
2.094,1.410,-1.057
2.096,1.408,-1.058
2.098,1.406,-1.059
2.100,1.404,-1.060
2.102,1.402,-1.060
2.104,1.400,-1.061
2.106,1.397,-1.062
2.108,1.395,-1.063
2.110,1.393,-1.064
2.112,1.391,-1.064
2.114,1.389,-1.065
2.116,1.387,-1.066
2.118,1.385,-1.067
2.120,1.383,-1.067
2.122,1.380,-1.068
2.124,1.378,-1.069
2.126,1.376,-1.069
2.128,1.374,-1.070
2.130,1.372,-1.071
2.132,1.370,-1.071
2.134,1.368,-1.072
2.136,1.365,-1.073
2.138,1.363,-1.073
2.140,1.361,-1.074
2.142,1.359,-1.074
2.144,1.357,-1.075
2.146,1.355,-1.076
2.148,1.353,-1.076
2.150,1.350,-1.077
